Obs,Name,Gender,Fixed,Color,Heritage,Age,Weight
436,Lady,Female,Yes,Dark brown,Single breed,9.75,31.5
437,Tommy,Male,Yes,No primary color,Single breed,5,29
438,Ursula,Female,Yes,Other,Single breed,6,110
439,Merritt,Male,Yes,Light brown,Single breed,9,55
440,Dovi,Female,Yes,Light brown,Single breed,2,5.5
441,Scooby,Female,Yes,Yellow/blond,Single breed,13,80
442,Frida,Female,Yes,Dark brown,Mixed breed/unknown,6,60
443,Jynx,Female,Yes,Black,Mixed breed/unknown,3.5,85
444,Thanda,Male,Yes,Black,Mixed breed/unknown,8,55
445,Scooby,Male,Yes,Yellow/blond,Mixed breed/unknown,6,24
446,Casius,Male,Yes,Dark brown,Mixed breed/unknown,12,21
447,Edie,Female,Yes,Reddish,Mixed breed/unknown,12,30
448,Trixie ,Female,Yes,Light brown,Single breed,7,15
449,Kirby,Male,Yes,White,Mixed breed/unknown,13,45
450,Lola B,Female,Yes,Light brown,Single breed,16,22
451,Lola B,Female,Yes,Light brown,Single breed,16,22
452,Lexie,Female,Yes,Black,Mixed breed/unknown,2.5,55
453,Sophie,Female,Yes,Light brown,Mixed breed/unknown,8,80
454,Harley ,Male,Yes,Black,Mixed breed/unknown,9,75
