id,trust,threat,age,male,education,income
979,9,0,53,0,6,2
980,6,0,28,0,10,2
981,7,0,27,0,6,0
982,8,0,40,0,8,0
983,8,1,40,1,9,3
984,8,0,59,1,4,2
985,6,0,52,0,1,0
986,8,0,48,1,10,1
987,10,0,45,0,6,1
988,5,1,19,1,1,0
989,8,0,54,0,5,3
990,7,0,21,1,6,0
991,7,0,19,1,0,0
992,9,0,50,0,4,0
993,9,0,15,0,0,0
994,6,0,35,0,8,0
995,7,0,34,1,4,3
996,10,0,31,0,6,1
997,5,0,34,0,4,0
998,7,0,41,1,7,3
999,7,0,37,0,10,1
1000,9,0,57,1,1,3
1001,8,1,46,1,7,3
1002,9,0,44,0,7,0
1003,7,0,20,0,6,0
1004,8,0,17,1,1,0
1005,5,0,52,0,10,2
1006,3,0,34,0,4,0
1007,6,0,47,1,4,2
1008,9,0,46,0,10,1
1009,8,0,19,0,6,0
1010,5,0,63,1,4,2
1011,7,0,47,0,10,2
1012,8,0,47,0,6,1
1013,7,0,41,1,10,3
1014,9,0,48,0,5,1
1015,8,0,47,1,4,2
1016,10,0,24,1,4,2
1017,9,0,23,1,4,1
1018,6,0,20,1,4,1
1019,6,1,17,1,1,0
1020,8,0,43,1,10,3
1021,8,0,63,0,1,0
1022,10,0,40,1,8,3
1023,7,0,61,1,10,3
1024,8,0,55,1,5,3
1025,7,0,39,0,10,1
1026,9,0,56,0,4,1
1027,8,0,61,0,10,1
1028,7,0,28,1,10,1
1029,7,0,44,0,10,1
1030,7,0,49,0,3,1
1031,5,0,52,1,10,3
1032,0,0,15,1,0,0
1033,8,0,56,1,8,3
1034,5,0,39,0,10,2
1035,5,0,51,1,8,2
1036,3,0,41,0,1,1
1037,4,0,25,0,10,0
1038,9,0,64,0,10,3
1039,10,0,45,0,6,1
1040,7,0,35,0,6,2
1041,6,0,53,1,10,3
1042,8,0,42,0,5,2
1043,9,0,56,0,1,2
1044,2,0,65,1,10,1
1045,8,0,44,0,7,3
1046,7,0,29,1,10,2
1047,0,0,54,1,1,2
1048,3,0,36,0,6,2
1049,7,0,41,0,8,2
1050,8,0,14,0,0,0
1051,6,0,53,0,10,2
1052,4,0,56,1,10,3
1053,8,0,25,1,1,0
1054,5,0,40,1,1,1
1055,4,0,40,0,5,3
1056,7,0,15,1,1,0
1057,6,0,43,0,4,0
1058,5,0,38,1,4,3
1059,5,0,38,0,5,1
1060,5,1,35,1,7,3
1061,9,0,57,0,6,1
1062,7,0,48,0,10,3
1063,8,0,62,0,4,3
1064,5,1,34,0,10,3
1065,8,0,35,0,4,1
1066,4,0,45,0,1,1
1067,8,0,52,1,5,0
1068,5,0,58,0,1,0
1069,10,0,45,0,5,0
1070,5,1,17,1,0,0
1071,5,0,15,0,1,0
1072,5,0,43,0,8,2
1073,5,0,57,1,10,3
1074,7,0,54,0,7,2
1075,5,0,30,1,10,2
1076,3,0,26,1,4,1
1077,5,0,64,1,6,0
1078,10,0,62,0,4,0
1079,8,0,58,0,5,1
1080,10,0,54,0,4,1
1081,7,0,61,0,6,0
1082,7,1,53,0,6,3
1083,7,0,27,0,6,1
1084,8,0,25,1,10,2
1085,8,0,18,0,6,0
1086,8,0,48,0,4,0
1087,7,1,23,0,0,0
1088,6,0,21,0,6,0
1089,6,0,41,0,4,0
1090,0,0,18,0,1,0
1091,7,0,32,1,8,2
1092,7,0,42,1,8,2
1093,6,0,17,1,1,0
1094,7,0,28,1,4,1
1095,9,0,59,0,4,1
1096,8,0,62,1,4,2
1097,7,0,59,1,9,3
1098,5,0,17,0,0,0
1099,8,0,54,0,6,1
1100,7,0,24,0,4,1
1101,5,0,21,0,0,1
1102,5,1,33,0,4,2
1103,5,0,57,0,1,0
1104,5,0,43,0,4,0
1105,6,0,17,0,1,0
1106,3,0,16,1,1,0
1107,10,0,40,1,9,3
1108,6,0,36,0,7,2
1109,8,0,37,1,5,3
1110,8,0,36,0,4,1
1111,10,0,46,0,7,0
1112,8,0,23,1,1,1
1113,8,0,47,1,4,3
1114,7,0,60,0,1,0
1115,4,0,35,1,8,3
1116,9,0,56,1,4,3
1117,10,0,52,0,2,0
1118,7,0,47,1,9,3
1119,9,0,40,0,4,0
1120,10,0,59,0,5,1
1121,5,0,35,1,10,2
1122,8,0,32,0,6,1
1123,8,0,45,0,1,1
1124,5,0,23,1,0,2
1125,7,0,21,0,6,1
1126,7,0,63,1,8,3
1127,10,0,59,0,9,1
1128,8,0,37,0,10,2
1129,6,0,67,1,4,0
1130,6,0,53,0,6,3
1131,8,0,48,1,10,3
1132,7,0,65,1,10,0
1133,8,0,40,1,10,3
1134,5,0,48,0,4,1
1135,8,0,58,0,6,3
1136,9,0,45,1,7,3
1137,7,0,41,0,4,0
1138,8,0,19,0,0,0
1139,2,0,17,0,0,0
1140,7,0,36,1,9,2
1141,8,0,34,0,6,1
1142,4,0,40,1,7,3
1143,8,0,39,0,6,1
1144,7,0,49,0,9,3
1145,8,0,46,1,9,3
1146,7,0,49,0,4,1
1147,7,0,24,1,0,2
1148,7,0,38,1,4,3
1149,7,0,61,1,4,0
1150,0,0,64,1,4,3
1151,5,0,43,0,5,1
1152,3,0,37,1,6,3
1153,7,0,43,1,10,2
1154,7,0,47,0,4,1
1155,7,0,21,0,6,0
1156,5,0,19,0,2,0
1157,6,0,17,0,1,0
1158,8,0,45,0,4,0
1159,5,0,45,1,7,1
1160,7,0,37,0,4,0
1161,7,0,45,0,6,0
1162,8,0,39,1,9,3
1163,7,0,55,1,6,3
1164,5,0,43,0,4,0
1165,6,1,15,0,0,0
1166,7,0,54,1,9,3
1167,0,0,50,0,4,1
1168,7,0,48,0,3,0
1169,3,1,18,1,1,0
1170,6,0,53,1,10,1
1171,7,0,50,0,4,1
1172,7,0,45,1,8,3
1173,7,0,39,0,4,0
1174,8,0,35,1,9,2
1175,6,0,35,0,4,0
1176,6,0,38,1,5,2
1177,10,0,37,0,4,1
1178,7,0,35,1,4,1
1179,6,0,47,1,10,3
1180,5,0,41,0,4,3
1181,8,0,53,1,4,1
1182,7,0,51,0,2,1
1183,8,0,56,1,4,2
1184,6,0,33,1,4,2
1185,5,0,56,0,1,0
1186,5,0,22,1,0,1
1187,7,0,60,1,9,2
1188,6,0,35,1,9,3
1189,8,0,28,0,6,2
1190,0,0,60,1,1,2
1191,5,0,45,0,2,0
1192,5,1,21,1,4,1
1193,5,0,16,1,1,0
1194,8,1,15,1,0,0
1195,7,0,43,1,4,2
1196,8,0,42,0,6,1
1197,7,0,15,0,0,0
1198,5,0,47,1,4,2
1199,7,1,46,0,4,1
1200,4,0,64,1,1,0
1201,4,0,61,0,2,0
1202,8,0,57,0,7,1
1203,3,1,40,1,4,3
1204,9,0,52,0,7,3
1205,6,0,50,1,7,3
1206,8,0,16,0,0,0
1207,9,0,14,1,0,0
1208,5,0,51,1,7,3
1209,9,0,18,1,1,0
1210,0,0,42,1,6,2
1211,8,0,36,0,6,1
1212,7,0,55,1,4,3
1213,5,0,52,0,4,2
1214,8,0,53,1,7,3
1215,6,0,45,0,4,0
1216,9,0,46,0,9,0
1217,7,0,57,1,5,1
1218,7,0,17,0,0,0
1219,4,0,69,1,2,0
1220,6,0,42,1,4,3
1221,4,0,53,1,1,2
1222,5,0,50,0,1,0
1223,8,0,58,0,10,2
1224,9,0,60,1,7,3
1225,0,0,43,0,4,0
1226,5,0,16,1,1,0
1227,8,0,30,1,4,3
1228,8,0,30,1,4,3
1229,7,0,55,1,6,3
1230,8,0,54,0,6,1
1231,6,0,20,1,3,0
1232,7,1,18,1,1,0
1233,4,1,35,0,6,0
1234,6,0,50,0,7,1
1235,7,0,51,0,6,1
1236,5,1,26,1,1,2
1237,8,0,61,1,8,3
1238,8,0,43,0,4,0
1239,8,0,41,1,4,3
1240,5,1,17,1,0,0
1241,5,0,15,1,0,0
1242,8,0,55,1,4,1
1243,7,0,53,1,4,3
1244,8,0,52,0,4,1
1245,6,0,24,1,4,1
1246,8,0,22,0,10,0
1247,2,0,59,0,5,0
1248,4,0,56,1,4,3
1249,5,0,20,0,2,0
1250,7,1,15,1,0,0
1251,3,0,49,0,4,1
1252,5,0,24,1,0,1
1253,7,0,55,1,10,3
1254,7,0,39,0,4,1
1255,6,0,35,0,10,2
1256,5,0,28,1,7,2
1257,10,1,68,1,9,0
1258,2,0,60,1,6,3
1259,7,0,25,1,4,2
1260,5,0,39,0,4,1
1261,5,0,41,0,4,0
1262,5,0,58,0,1,0
1263,0,0,59,1,4,1
1264,7,0,56,0,3,3
1265,6,0,27,1,4,2
1266,5,0,36,1,7,3
1267,3,0,48,1,4,1
1268,8,0,66,0,4,0
1269,9,0,45,1,4,1
1270,5,0,19,1,1,0
1271,8,0,16,1,1,0
1272,6,0,66,0,2,0
1273,9,0,62,1,4,3
1274,8,0,24,1,6,0
1275,6,0,36,0,10,3
1276,7,0,46,1,4,3
1277,7,0,19,1,0,0
1278,5,0,40,1,4,3
1279,0,1,23,0,8,0
1280,7,0,29,0,10,1
1281,5,0,61,0,4,0
1282,8,0,59,1,5,2
1283,7,0,44,0,10,2
1284,6,0,48,0,9,2
1285,4,0,19,1,1,0
1286,7,0,39,0,4,1
1287,2,0,53,1,4,3
1288,2,0,26,1,1,3
1289,5,0,53,0,5,1
1290,9,0,19,1,1,0
1291,10,0,65,1,3,0
1292,8,0,25,1,3,0
1293,7,0,44,0,4,0
1294,7,1,64,1,6,3
1295,9,1,62,0,4,0
1296,7,1,53,1,10,1
1297,6,0,44,1,10,3
1298,7,1,41,0,2,0
1299,4,1,15,1,0,0
1300,8,0,55,0,9,1
1301,0,0,57,0,2,2
1302,7,0,50,1,4,3
1303,8,0,45,0,4,0
1304,7,0,20,0,1,0
1305,10,0,18,0,1,0
1306,7,0,39,0,4,0
1307,8,0,50,1,9,3
1308,10,0,37,0,8,2
1309,8,0,42,1,4,3
1310,10,0,37,0,10,0
1311,7,0,48,0,2,0
1312,5,1,18,1,0,0
1313,4,0,35,0,8,1
1314,5,0,44,1,4,3
1315,9,0,49,1,10,2
1316,10,0,47,0,10,1
1317,8,0,21,1,6,0
1318,7,0,16,0,1,0
1319,4,0,51,1,4,2
1320,8,0,60,0,4,1
1321,10,0,75,0,5,0
1322,8,0,62,1,4,3
1323,9,1,60,0,6,2
1324,7,0,30,1,9,2
1325,7,0,28,0,10,0
1326,9,0,26,1,10,1
1327,7,1,51,0,4,0
1328,6,0,51,0,4,0
1329,6,0,46,0,10,0
1330,8,0,62,1,3,3
1331,7,0,39,1,10,3
1332,5,1,46,0,7,2
1333,9,0,58,0,10,3
1334,8,0,67,1,4,0
1335,5,0,66,0,4,0
1336,5,0,40,1,10,3
1337,8,0,41,0,4,0
1338,9,1,55,1,4,3
1339,7,0,53,0,10,2
1340,7,0,53,1,10,3
1341,8,0,23,1,6,0
1342,7,0,63,1,4,0
1343,7,0,63,1,8,2
1344,6,0,32,1,10,3
1345,6,0,38,0,7,0
1346,7,0,38,1,6,3
1347,7,1,16,1,0,0
1348,6,1,14,0,0,0
1349,6,0,35,1,10,3
1350,9,0,34,0,6,1
1351,3,0,62,1,4,3
1352,10,0,51,1,4,3
1353,8,0,51,0,4,0
1354,8,0,45,1,8,3
1355,6,0,43,0,6,1
1356,7,0,20,0,4,0
1357,6,0,19,0,3,0
1358,6,0,40,0,4,2
1359,8,0,44,0,4,2
1360,8,0,42,0,10,0
1361,7,0,41,1,7,3
1362,8,0,57,1,4,1
1363,9,0,49,0,10,2
1364,9,0,17,0,2,0
1365,7,0,36,1,7,2
1366,7,0,33,0,4,0
1367,4,0,41,1,9,3
1368,7,0,35,0,5,0
1369,6,0,65,1,10,0
1370,6,0,30,1,6,3
1371,7,0,44,1,10,3
1372,0,0,19,1,2,0
1373,6,0,56,1,4,3
1374,5,0,34,0,4,0
1375,7,0,46,0,10,3
1376,6,0,44,1,4,1
1377,7,0,50,0,2,1
1378,6,0,47,1,9,3
1379,8,0,41,0,5,3
1380,8,0,66,1,7,1
1381,10,0,54,0,5,1
1382,8,0,54,1,10,3
1383,7,0,22,0,5,0
1384,10,0,30,0,10,1
1385,7,0,47,1,7,3
1386,5,0,16,1,0,0
1387,7,0,15,0,0,0
1388,9,0,63,1,10,3
1389,9,0,41,1,9,3
1390,8,1,48,1,8,3
1391,8,0,41,1,10,2
1392,7,0,53,0,2,1
1393,7,0,37,0,6,2
1394,8,0,66,1,10,3
1395,8,0,64,0,7,1
1396,7,0,35,0,10,3
1397,8,0,33,1,10,3
1398,7,0,43,0,6,3
1399,10,0,52,0,4,0
1400,8,0,25,1,7,0
1401,8,0,43,0,6,1
1402,7,0,42,0,8,0
1403,4,0,40,0,10,2
1404,7,1,43,0,9,3
1405,5,1,41,1,4,2
1406,8,0,20,0,6,0
1407,8,1,18,0,0,0
1408,5,0,43,1,10,3
1409,6,0,62,0,2,0
1410,7,0,46,1,4,3
1411,7,0,62,1,7,1
1412,2,0,62,0,4,2
1413,8,0,43,0,9,0
1414,6,0,62,0,1,0
1415,5,0,39,0,2,0
1416,8,0,34,1,9,3
1417,7,0,40,1,10,2
1418,8,0,45,0,5,3
1419,9,0,15,1,0,0
1420,5,0,45,0,4,0
1421,0,1,34,0,4,3
1422,6,0,45,1,10,2
1423,7,0,33,0,7,3
1424,8,0,50,0,6,1
1425,9,0,18,0,0,0
1426,8,0,14,0,0,0
1427,6,0,54,1,6,3
1428,5,0,76,1,9,0
1429,9,0,40,0,4,0
1430,6,0,22,0,4,1
1431,9,0,64,1,8,3
1432,8,0,28,1,10,2
1433,7,0,43,1,10,1
1434,5,0,73,1,4,3
1435,7,0,69,0,4,0
1436,5,0,28,0,6,2
1437,5,1,28,1,5,2
1438,8,0,55,1,1,3
1439,5,0,49,0,6,0
1440,7,1,20,1,0,1
1441,9,0,61,0,6,3
1442,3,0,41,1,7,1
1443,8,0,42,1,7,2
1444,2,0,70,1,3,0
1445,5,0,43,0,4,0
1446,8,0,48,1,10,3
1447,5,0,49,1,7,2
1448,5,0,21,0,1,0
1449,5,0,47,1,9,3
1450,6,0,43,0,10,1
1451,7,0,60,0,4,0
1452,7,0,48,1,4,2
1453,7,0,55,0,4,3
1454,5,0,26,1,6,0
1455,3,1,52,0,9,1
1456,7,0,46,1,10,3
1457,8,0,42,0,9,1
1458,7,0,42,0,10,0
1459,0,0,41,1,1,1
1460,4,0,37,0,1,0
1461,6,0,38,1,10,3
1462,6,0,61,1,7,3
1463,7,0,49,0,6,3
1464,9,0,52,0,7,1
1465,6,1,21,1,1,0
1466,8,0,61,0,6,0
1467,7,0,38,0,6,0
1468,10,0,55,1,7,3
1469,6,0,57,0,10,1
1470,8,0,47,0,4,0
1471,5,0,17,1,1,0
1472,7,0,59,0,9,3
1473,7,0,51,0,4,0
1474,0,0,16,0,1,0
1475,5,0,44,0,4,2
1476,6,0,56,1,4,3
1477,7,0,52,0,2,1
1478,5,0,29,1,9,3
1479,5,1,57,0,5,2
1480,9,0,24,0,3,1
1481,6,0,21,0,6,1
1482,8,0,61,0,4,0
1483,4,0,42,1,4,1
1484,7,0,32,0,7,1
1485,6,0,31,1,8,2
1486,7,1,39,0,6,2
1487,6,1,40,0,7,1
1488,9,0,44,0,9,0
1489,9,0,55,0,3,0
1490,7,0,65,1,4,0
1491,7,0,51,1,7,0
1492,8,0,50,0,4,1
1493,8,0,41,1,9,2
1494,8,0,35,1,10,3
1495,0,0,55,1,4,2
1496,4,0,19,0,0,0
1497,7,0,66,0,1,0
1498,3,0,78,1,10,3
1499,8,0,56,1,4,1
1500,8,0,38,1,10,3
1501,10,0,37,1,9,3
1502,5,0,50,1,4,2
1503,7,0,49,0,6,2
1504,3,0,30,1,6,2
1505,7,1,61,0,9,1
1506,9,0,40,1,8,3
1507,8,0,47,1,10,3
1508,5,0,35,0,10,3
1509,5,0,35,0,4,0
1510,6,0,40,1,4,2
1511,10,0,45,0,4,2
1512,10,0,60,0,4,2
1513,8,0,68,0,10,0
1514,7,0,63,1,10,3
1515,8,0,45,0,10,0
1516,5,0,57,0,1,2
1517,10,0,46,0,4,2
1518,5,0,57,1,1,2
1519,8,0,51,1,10,1
1520,7,0,64,1,4,3
1521,9,0,62,0,5,1
1522,5,0,60,0,4,2
1523,7,0,60,0,4,1
1524,6,0,57,1,4,2
1525,6,0,25,1,4,1
1526,9,0,46,0,4,0
1527,5,0,17,0,0,0
1528,9,0,57,0,6,3
1529,5,1,55,0,4,0
1530,2,0,58,1,10,3
1531,8,0,53,0,6,1
1532,6,0,61,0,10,1
1533,8,0,55,0,7,1
1534,7,0,40,1,6,1
1535,5,0,65,0,3,0
1536,7,0,66,1,9,3
1537,8,0,47,0,4,1
1538,4,0,44,1,7,1
1539,5,0,61,1,6,3
1540,6,0,46,0,6,1
1541,6,1,43,0,4,1
1542,8,0,53,0,4,2
1543,8,0,48,1,8,3
1544,5,0,40,0,4,0
1545,7,0,65,1,10,3
1546,7,0,46,0,4,2
1547,5,0,23,0,9,0
1548,5,0,62,1,5,3
1549,0,0,47,0,4,0
1550,9,0,19,0,1,1
1551,6,0,47,0,4,0
1552,8,0,33,0,4,2
1553,8,0,54,1,5,3
1554,6,0,44,0,4,1
1555,6,0,54,1,3,3
1556,7,0,52,1,7,3
1557,6,0,49,0,2,2
1558,6,0,36,1,4,2
1559,8,0,32,0,5,2
1560,8,0,72,1,4,0
1561,4,0,45,1,10,3
1562,3,1,45,0,4,1
1563,10,0,44,0,9,1
1564,9,0,39,1,6,3
1565,8,0,50,1,8,2
1566,7,0,49,0,1,1
1567,5,0,21,0,4,1
1568,7,0,18,1,1,0
1569,5,0,55,1,1,1
1570,5,0,47,0,4,1
1571,0,0,18,0,1,0
1572,6,0,16,0,0,0
1573,7,0,47,1,4,2
1574,7,0,41,1,9,3
1575,8,0,57,1,4,2
1576,7,0,22,1,2,1
1577,8,1,19,1,1,0
1578,5,0,45,0,6,1
1579,8,0,42,1,4,3
1580,5,0,63,0,1,0
1581,6,0,48,0,4,0
1582,4,1,18,1,0,0
1583,4,0,16,0,1,0
1584,3,1,61,1,4,1
1585,0,1,62,0,1,0
1586,5,0,46,0,4,0
1587,6,0,49,1,8,3
1588,5,0,19,0,6,0
1589,8,0,18,1,0,0
1590,0,0,43,0,4,0
1591,5,0,24,0,4,1
1592,8,0,69,1,9,0
1593,8,0,65,0,1,0
1594,8,0,60,1,10,3
1595,2,1,35,1,4,1
1596,7,0,34,0,7,3
1597,6,0,32,0,4,0
1598,3,1,31,1,4,1
1599,7,0,67,1,7,0
1600,7,0,45,0,10,1
1601,8,0,19,0,2,0
1602,6,0,17,0,1,0
1603,4,0,36,1,10,3
1604,2,0,48,0,4,2
1605,6,0,42,0,2,1
1606,10,0,60,1,4,1
1607,7,0,46,1,9,3
1608,7,0,49,1,10,3
1609,8,0,46,0,6,1
1610,0,0,76,1,10,1
1611,5,0,36,0,10,0
1612,5,1,43,0,1,1
1613,8,0,66,1,4,3
1614,5,1,61,0,6,0
1615,7,0,55,0,10,2
1616,6,0,24,0,9,1
1617,7,0,20,0,1,0
1618,6,0,58,0,6,1
1619,9,1,26,1,6,0
1620,5,0,47,1,4,2
1621,8,1,43,1,4,3
1622,7,0,41,0,4,0
1623,7,1,47,1,10,2
1624,0,0,47,1,3,2
1625,4,0,37,0,7,3
1626,9,0,47,0,6,3
1627,0,0,22,0,4,1
1628,9,0,19,0,1,0
1629,6,0,50,1,10,3
1630,7,0,46,0,5,1
1631,8,1,21,1,6,0
1632,6,0,19,1,6,0
1633,9,1,39,1,9,3
1634,1,0,58,1,5,0
1635,9,0,77,0,2,0
1636,4,1,57,0,10,0
1637,6,0,59,1,1,2
1638,8,0,58,0,2,1
1639,5,0,52,0,5,0
1640,7,1,28,0,4,1
1641,3,0,60,0,2,0
1642,0,0,48,1,6,2
1643,4,0,23,1,0,2
1644,5,0,71,0,1,0
1645,6,1,19,0,0,0
1646,7,0,36,1,5,3
1647,9,0,37,0,7,1
1648,9,0,54,0,6,2
1649,5,0,56,1,8,3
1650,7,0,55,0,4,2
1651,8,0,30,0,6,1
1652,8,0,47,0,2,1
1653,5,0,45,1,5,3
1654,5,0,18,1,1,0
1655,8,0,56,1,3,3
1656,7,0,40,1,4,1
1657,7,0,61,1,7,2
1658,6,0,28,1,7,3
1659,8,0,50,1,4,3
1660,7,0,46,0,4,0
1661,10,0,21,1,0,1
1662,8,0,20,1,5,1
1663,7,0,15,0,0,0
1664,8,0,60,1,9,3
1665,8,0,54,0,4,1
1666,7,0,27,1,10,1
1667,10,0,25,1,6,0
1668,6,0,55,0,6,1
1669,8,0,42,1,7,2
1670,4,0,21,1,0,1
1671,7,0,42,1,10,3
1672,4,1,21,0,6,0
1673,10,0,53,0,4,1
1674,8,0,24,0,1,1
1675,6,1,20,0,6,0
1676,8,0,46,0,10,3
1677,10,0,43,0,10,2
1678,7,0,41,1,10,3
1679,7,1,40,0,10,3
1680,8,0,45,0,7,0
1681,7,0,55,1,4,3
1682,5,1,31,0,6,0
1683,8,0,38,1,4,1
1684,10,0,49,1,4,1
1685,10,0,44,0,9,1
1686,7,0,18,1,1,0
1687,7,0,46,1,6,3
1688,10,0,43,0,4,1
1689,5,0,58,0,4,1
1690,6,0,57,1,7,3
1691,5,0,36,1,7,2
1692,6,0,35,0,4,1
1693,9,0,37,0,2,0
1694,6,0,47,1,7,2
1695,5,1,46,1,6,3
1696,5,0,44,0,6,0
1697,3,0,17,0,1,0
1698,5,0,53,1,4,3
1699,8,0,56,0,6,3
1700,8,0,24,1,10,0
1701,7,0,49,0,4,0
1702,6,0,47,1,5,3
1703,6,0,28,1,1,1
1704,4,0,52,0,4,2
1705,4,0,50,0,6,0
1706,6,0,20,0,3,0
1707,7,0,45,0,2,3
1708,5,0,45,1,4,3
1709,7,0,42,0,4,0
1710,8,1,15,1,0,0
1711,5,0,28,1,2,1
1712,6,0,33,0,1,1
1713,7,0,58,1,8,2
1714,6,0,55,0,1,0
1715,5,0,49,1,4,3
1716,5,0,38,1,7,1
1717,7,0,50,1,9,3
1718,8,0,41,0,4,1
1719,7,0,18,0,0,0
1720,8,1,46,1,7,3
1721,7,0,44,0,6,0
1722,3,0,15,0,1,0
1723,3,1,44,1,4,1
1724,0,0,36,0,7,0
1725,7,0,62,0,7,1
1726,4,0,48,1,1,1
1727,5,0,18,0,0,0
1728,1,0,16,1,0,0
1729,5,0,48,1,9,3
1730,5,0,47,0,6,0
1731,7,0,23,0,6,0
1732,7,0,21,0,5,1
1733,7,0,15,0,0,0
1734,8,0,55,1,6,3
1735,8,0,52,0,6,0
1736,6,0,25,1,10,0
1737,7,0,23,1,6,0
1738,8,0,20,1,2,0
1739,8,0,64,1,10,1
1740,7,0,49,0,9,1
1741,5,0,16,1,0,0
1742,8,0,14,0,0,0
1743,8,0,57,1,8,3
1744,7,0,20,0,4,1
1745,5,0,16,1,1,0
1746,7,0,63,1,7,3
1747,4,1,41,1,7,3
1748,5,0,43,1,9,1
1749,5,0,42,0,4,0
1750,8,0,43,1,5,1
1751,7,0,39,0,5,2
1752,7,0,33,0,6,2
1753,5,0,47,0,1,0
1754,8,0,23,1,0,0
1755,5,0,21,0,4,1
1756,8,0,49,1,7,2
1757,6,0,35,1,9,3
1758,10,0,23,1,4,2
1759,7,0,58,0,7,1
1760,8,0,24,0,1,0
1761,8,1,40,1,7,1
1762,8,0,49,1,4,3
1763,9,0,43,0,10,3
1764,8,0,48,0,2,1
1765,6,0,19,1,4,1
1766,5,0,18,1,1,0
1767,7,0,49,1,10,3
1768,5,0,45,1,4,3
1769,6,0,23,1,0,1
1770,0,0,59,0,10,1
1771,6,0,27,0,7,1
1772,5,0,58,0,1,0
1773,8,0,39,1,10,3
1774,10,0,39,0,10,3
1775,5,0,43,1,6,2
1776,2,0,45,0,6,0
1777,7,0,17,0,1,0
1778,4,1,38,0,4,1
1779,0,0,17,1,1,0
1780,5,0,59,0,5,0
1781,8,0,19,1,5,0
1782,8,0,55,0,4,0
1783,5,1,31,1,7,2
1784,5,0,59,1,4,3
1785,8,0,35,0,10,2
1786,8,0,45,1,4,2
1787,8,0,41,0,1,0
1788,6,0,19,0,5,0
1789,5,0,52,0,2,2
1790,5,1,30,1,4,3
1791,8,0,50,0,2,1
1792,6,1,17,1,0,0
1793,7,0,33,1,7,3
1794,6,0,38,0,2,1
1795,9,0,47,1,9,3
1796,8,0,46,0,10,2
1797,9,0,15,0,0,0
1798,7,0,37,0,4,1
1799,6,1,50,0,10,3
1800,8,1,36,1,9,3
1801,8,0,40,1,5,2
1802,7,0,49,1,2,3
1803,5,0,61,0,2,0
1804,8,0,41,1,1,1
1805,6,0,51,1,4,2
1806,8,0,65,1,9,0
1807,8,0,65,0,7,0
1808,8,0,37,1,7,2
1809,7,0,46,0,4,2
1810,7,0,59,1,7,2
1811,4,0,69,0,4,0
1812,9,0,39,0,4,0
1813,8,0,35,0,7,1
1814,9,0,49,1,4,3
1815,5,0,25,0,1,0
1816,8,0,52,1,7,3
1817,7,0,24,0,10,2
1818,8,1,22,0,4,1
1819,6,0,19,0,6,0
1820,0,0,67,1,4,1
1821,5,0,46,0,4,1
1822,4,0,42,1,4,1
1823,5,0,63,1,4,0
1824,8,0,19,1,0,0
1825,4,0,54,0,7,1
1826,8,0,43,1,10,3
1827,0,1,18,1,0,0
1828,7,0,74,1,4,3
1829,9,0,53,0,5,3
1830,6,0,58,0,4,2
1831,9,0,72,1,4,0
1832,8,0,59,0,5,2
1833,10,0,33,1,10,1
1834,8,0,63,1,10,1
1835,2,0,39,1,4,3
1836,5,0,41,1,1,2
1837,8,0,36,0,6,0
1838,8,0,66,1,7,3
1839,2,1,37,1,4,2
1840,7,0,56,1,4,3
1841,8,0,53,0,4,1
1842,7,0,28,1,9,2
1843,7,0,54,1,9,3
1844,5,0,57,1,9,3
1845,8,0,54,0,2,1
1846,7,0,22,1,8,0
1847,9,0,16,0,1,0
1848,8,0,32,1,10,2
1849,6,0,40,0,4,1
1850,6,0,49,0,4,1
1851,4,0,30,1,4,1
1852,5,0,26,0,4,1
1853,5,0,53,1,4,3
1854,8,0,39,1,7,3
1855,5,0,38,0,5,0
1856,5,0,45,1,2,1
1857,7,0,39,0,4,0
1858,7,0,57,0,4,2
1859,1,0,38,1,9,3
1860,7,0,45,0,4,0
1861,7,0,47,1,7,3
1862,5,1,38,0,7,1
1863,7,0,53,1,4,3
1864,7,1,31,1,6,1
1865,7,0,30,1,6,2
1866,5,0,27,1,6,0
1867,10,0,40,0,9,2
1868,5,0,26,0,4,1
1869,6,0,39,0,4,0
1870,5,0,34,0,6,1
1871,6,0,56,1,4,3
1872,5,0,51,0,6,0
1873,7,0,17,1,0,0
1874,4,1,14,1,0,0
1875,8,0,58,0,6,1
1876,6,0,53,0,4,1
1877,7,0,45,1,7,2
1878,7,0,29,1,7,2
1879,7,0,57,1,4,2
1880,8,0,49,1,7,2
1881,8,0,45,0,4,0
1882,8,0,18,0,0,0
1883,8,0,36,0,4,0
1884,5,0,73,1,7,0
1885,7,0,53,0,10,3
1886,5,0,59,0,4,1
1887,8,0,40,1,10,3
1888,10,0,39,0,6,1
1889,5,0,51,1,4,2
1890,8,0,21,0,6,1
1891,5,0,17,0,2,0
1892,10,0,57,1,1,1
1893,6,0,52,0,7,2
1894,8,0,26,1,6,2
1895,5,0,51,0,10,1
1896,3,0,22,0,3,2
1897,6,0,56,0,4,0
1898,8,0,53,0,9,2
1899,8,0,28,1,6,1
1900,8,0,32,0,7,3
1901,5,0,47,1,8,1
1902,3,0,66,1,4,1
1903,4,0,44,0,7,0
1904,5,0,34,1,4,2
1905,7,0,27,0,4,2
1906,6,0,45,1,10,3
1907,7,0,49,0,4,1
1908,4,0,50,1,4,1
1909,4,0,41,1,8,2
1910,10,0,39,0,6,0
1911,5,0,50,1,1,1
