"","Player","POS","Team","Age","GP","W","L","Min","PTS"
"423","Terry Taylor","F","CHI",23,31,13,18,263.4,89
"424","Johnny Juzang","G","UTA",22,18,6,12,232.3,87
"425","Dalen Terry","F","CHI",20,38,19,19,213.9,85
"426","David Duke Jr.","G","BKN",23,23,10,13,228,85
"427","Nikola Jovic","F","MIA",19,15,7,8,204.5,82
"428","Kennedy Chandler","G","MEM",20,36,22,14,281.5,78
"429","Peyton Watson","F","DEN",20,23,13,10,186.1,75
"430","Kemba Walker","PG","DAL",32,9,5,4,143.9,72
"431","Luka Samanic","F","UTA",23,7,2,5,160.8,69
"432","Serge Ibaka","F","MIL",33,16,11,5,185.4,66
"433","Danny Green","F","CLE",35,11,6,5,138.7,61
"434","Jeff Dowtin Jr.","PG","TOR",25,25,17,8,258.7,61
"435","Moussa Diabate","F","LAC",21,22,10,12,195.5,59
"436","Mamadi Diakite","F","CLE",26,22,15,7,175.9,57
"437","A.J. Lawson","G","DAL",22,15,5,10,108.3,56
"438","Quenton Jackson","G","WAS",24,9,3,6,134.6,56
"439","Jonathan Isaac","PF","ORL",25,11,8,3,124,55
"440","Jeenathan Williams","G","POR",24,5,1,4,126.6,53
"441","Trent Forrest","G","ATL",24,23,9,14,277,52
"442","James Johnson","PF","IND",36,18,7,11,162.4,51
"443","Jay Huff","C","WAS",25,7,2,5,94.9,51
"444","Thanasis Antetokounmpo","SF","MIL",30,37,25,12,206.2,51
"445","Garrett Temple","SF","NOP",36,25,16,9,161.8,50
"446","Lindell Wigginton","G","MIL",25,7,4,3,86.7,50
"447","Daniel Theis","C","IND",31,7,1,6,108.8,49
"448","Matthew Dellavedova","PG","SAC",32,32,19,13,212.8,47
"449","Josh Minott","F","MIN",20,15,7,8,96.2,46
"450","KZ Okpala","SF","SAC",24,35,19,16,248,46
"451","Jared Rhoden","G","DET",23,14,2,12,197.9,45
"452","John Butler Jr.","F","POR",20,19,4,15,221.1,45
"453","Dru Smith","G","BKN",25,15,7,8,158.4,44
"454","Jarrett Culver","G","ATL",24,10,5,5,136.9,44
"455","Otto Porter Jr.","SF","TOR",29,8,4,4,146.3,44
"456","Shaquille Harrison","G","LAL",29,5,1,4,119.9,44
"457","Alex Len","C","SAC",29,26,15,11,161.2,43
"458","Khem Birch","C","SAS",30,20,9,11,161.8,43
"459","Meyers Leonard","C","MIL",31,9,6,3,113.7,43
"460","Jaden Springer","G","PHI",20,16,13,3,89.3,42
"461","Wendell Moore Jr.","G","MIN",21,29,16,13,152.7,42
"462","Jason Preston","PG","LAC",23,14,4,10,123.8,41
"463","Omer Yurtseven","C","MIA",24,9,5,4,83.2,40
"464","Xavier Cooks","G","WAS",27,10,2,8,125.8,38
"465","Jared Butler","SG","OKC",22,6,3,3,76.5,37
"466","Olivier Sarr","C","OKC",24,9,5,4,113.6,36
"467","Vit Krejci","G","ATL",22,29,15,14,165.4,36
"468","Cody Martin","SF","CHA",27,7,2,5,133.7,35
"469","Nerlens Noel","C","BKN",29,17,4,13,194.7,35
"470","Isaiah Mobley","F","CLE",23,12,8,4,84.2,31
"471","Vince Williams Jr.","G","MEM",22,15,7,8,104.6,30
"472","Greg Brown III","PF","POR",21,16,10,6,93.1,28
"473","Jordan Hall","G","SAS",21,9,1,8,82.7,28
"474","Joshua Primo","SG","SAS",20,4,3,1,93.4,28
"475","Udonis Haslem","PF","MIA",42,7,4,3,72.1,27
"476","Ryan Arcidiacono","G","POR",29,20,9,11,172.4,26
"477","Mac McClung","SG","PHI",24,2,2,0,41.1,25
"478","Noah Vonleh","PF","BOS",27,23,17,6,171.6,25
"479","Sam Merrill","SG","CLE",26,5,4,1,58.5,25
"480","Gabe York","G","IND",29,3,1,2,55.8,24
"481","Keon Ellis","G","SAC",23,16,7,9,70.9,24
"482","Micah Potter","C","UTA",25,7,4,3,52.4,24
"483","Ryan Rollins","G","GSW",20,12,5,7,62.1,23
"484","Jarrell Brantley","PF","UTA",26,4,0,4,39,22
"485","PJ Dozier","G","SAC",26,16,11,5,79.3,22
"486","Jack White","F","DEN",25,17,13,4,66,21
"487","Trevelin Queen","SG","IND",26,7,2,5,70,21
"488","Tyrese Martin","G","ATL",24,16,10,6,65.5,21
"489","Carlik Jones","G","CHI",25,7,4,3,56,20
"490","Justin Jackson","SF","BOS",28,23,15,8,107.4,20
"491","Louis King","SF","PHI",24,1,1,0,28.8,20
"492","Ron Harper Jr.","F","TOR",23,9,6,3,47.5,20
"493","JD Davison","SG","BOS",20,12,11,1,65.7,19
"494","Tony Bradley","C","CHI",25,12,5,7,33.4,19
"495","Andre Iguodala","F","GSW",39,8,3,5,112.6,17
"496","Justin Minaya","F","POR",24,4,0,4,88.8,17
"497","Michael Carter-Williams","G","ORL",31,4,1,3,44.5,17
"498","Xavier Sneed","F","CHA",25,4,0,4,48.2,17
"499","Buddy Boeheim","F","DET",23,10,2,8,90.1,16
"500","RaiQuan Gray","F","BKN",23,1,0,1,35.1,16
"501","Darius Days","F","HOU",23,4,0,4,25,15
"502","Jamaree Bouyea","G","WAS",23,5,2,3,70.5,15
"503","Scotty Pippen Jr.","G","LAL",22,6,1,5,31.5,14
"504","Jay Scrubb","G","ORL",22,2,1,1,30.1,13
"505","Neemias Queta","C","SAC",23,5,1,4,28.7,12
"506","Justin Champagnie","SF","BOS",21,5,4,1,34.3,11
"507","Facundo Campazzo","G","DAL",32,8,2,6,52.2,10
"508","Lester Quinones","G","GSW",22,4,4,0,18.1,10
"509","Cole Swider","F","LAL",23,7,2,5,41.1,9
"510","Isaiah Todd","PF","WAS",21,6,2,4,61.4,9
"511","Joe Wieskamp","SF","TOR",23,9,6,3,49.7,9
"512","Kendall Brown","SG","IND",19,6,1,5,40.3,9
"513","Trevor Hudgins","G","HOU",24,5,0,5,28.3,9
"514","Tyler Dorsey","G","DAL",27,3,2,1,8.3,9
"515","Alize Johnson","F","SAS",27,4,1,3,29.5,7
"516","Chance Comanche","C","POR",27,1,0,1,20.8,7
"517","Xavier Moon","PG","LAC",28,4,2,2,19.6,7
"518","Leandro Bolmaro","F","UTA",22,14,8,6,68.5,6
"519","Marko Simonovic","C","CHI",23,7,3,4,19.6,6
"520","Mfiondu Kabengele","C","BOS",25,4,3,1,36.4,6
"521","Vernon Carey Jr.","C","UTA",22,11,8,3,28.5,6
"522","Dylan Windler","SG","CLE",26,3,3,0,10.4,5
"523","Kobi Simmons","G","CHA",25,5,1,4,27.8,5
"524","Malcolm Hill","F","CHI",27,5,4,1,9.2,5
"525","Braxton Key","G","DET",26,3,0,3,9.1,4
"526","Dereon Seabron","G","NOP",22,5,2,3,11.6,4
"527","Donovan Williams","G","ATL",21,2,1,1,4.3,4
"528","Devon Dotson","G","WAS",23,6,1,5,53.1,3
"529","Jacob Gilyard","G","MEM",24,1,0,1,40.8,3
"530","Jordan Schakel","F","WAS",24,2,0,2,6.2,3
"531","Trevor Keels","G","NYK",19,3,3,0,8,3
"532","Chima Moneke","F","SAC",27,2,1,1,7.9,2
"533","Chris Silva","F","DAL",26,1,1,0,3,2
"534","Stanley Umude","G","DET",24,1,0,1,2.1,2
"535","Alondes Williams","N/A","BKN",23,1,1,0,5.3,0
"536","Deonte Burton","N/A","SAC",29,2,1,1,6.5,0
"537","Frank Jackson","N/A","UTA",24,1,0,1,5,0
"538","Michael Foster Jr.","N/A","PHI",20,1,1,0,1,0
"539","Sterling Brown","N/A","LAL",28,4,2,2,24.4,0
